key,en,fr,it,es,context
settings.title,Settings,Paramètres,Impostazioni,Ajustes,"mt: Navigation title of the settings screen (it/es; from RN SettingsScreen)"
settings.section.account,Account,Compte,Account,Cuenta,"mt: Settings section header — account rows (fr/it/es)"
settings.section.subscription,Subscription,Abonnement,Abbonamento,Suscripción,"mt: Settings section header — subscription rows (fr/it/es)"
settings.section.notifications,Notifications,Notifications,Notifiche,Notificaciones,"mt: Settings section header — notification rows (it/es; fr from RN notifications)"
settings.section.privacy,Privacy,Confidentialité,Privacy,Privacidad,"mt: Settings section header — privacy rows (fr/it/es)"
settings.section.help,Help,Aide,Aiuto,Ayuda,"mt: Settings section header — help rows (fr/it/es)"
settings.section.about,About,À propos,Info,Acerca de,"mt: Settings section header — about rows (fr/it/es)"
settings.section.dangerZone,Danger zone,Zone sensible,Zona pericolosa,Zona de peligro,"mt: Settings section header — destructive account actions (fr/it/es)"
settings.row.editProfile,Edit profile,Modifier le profil,Modifica profilo,Editar perfil,"mt: Settings row → opens the edit-profile form (reuses profile.cta.edit copy)"
settings.row.email,Email,E-mail,Email,Correo,"mt: Settings row label showing the account email (fr/it/es)"
settings.row.language,Language,Langue,Lingua,Idioma,"mt: Settings row → language preference (fr/it/es)"
settings.row.signOut,Sign out,Se déconnecter,Esci,Cerrar sesión,"mt: Settings row → signs the user out (fr/it/es; from RN auth.logout)"
settings.row.currentPlan,Current plan,Forfait actuel,Piano attuale,Plan actual,"mt: Settings subscription row showing the active plan (fr/it/es)"
settings.row.manageSubscription,Manage subscription,Gérer l'abonnement,Gestisci abbonamento,Gestionar suscripción,"mt: Settings subscription row → opens the Apple ID subscriptions page (fr/it/es)"
settings.row.pushPermission,Push notifications,Notifications push,Notifiche push,Notificaciones push,"mt: Settings notifications row — push permission state (fr/it/es)"
settings.row.dataExport,Request data export,Demander l'export des données,Richiedi l'esportazione dei dati,Solicitar exportación de datos,"mt: Settings privacy row → request a copy of personal data (fr/it/es)"
settings.row.privacyPolicy,Privacy policy,Politique de confidentialité,Informativa sulla privacy,Política de privacidad,"mt: Settings privacy row → opens the privacy policy webview (fr/it/es)"
settings.row.terms,Terms of use,Conditions d'utilisation,Termini di utilizzo,Términos de uso,"mt: Settings privacy row → opens the terms of use webview (fr/it/es)"
settings.row.faq,FAQ,FAQ,FAQ,Preguntas frecuentes,"mt: Settings help row → opens the FAQ webview (fr/it/es)"
settings.row.contactSupport,Contact support,Contacter le support,Contatta il supporto,Contactar soporte,"mt: Settings help row → opens a support contact (fr/it/es)"
settings.row.version,Version,Version,Versione,Versión,"mt: Settings about row label for the app version + build (fr/it/es)"
settings.row.acknowledgments,Acknowledgments,Remerciements,Riconoscimenti,Agradecimientos,"mt: Settings about row → open-source libraries / acknowledgments (fr/it/es)"
settings.row.deleteAccount,Delete account,Supprimer le compte,Elimina account,Eliminar cuenta,"mt: Settings danger-zone row → starts the account-deletion flow (fr/it/es)"
settings.notifications.note,Per-category controls arrive with in-app notifications.,Les contrôles par catégorie arriveront avec les notifications dans l'app.,I controlli per categoria arriveranno con le notifiche in-app.,Los controles por categoría llegarán con las notificaciones en la app.,"mt: Footnote under the notifications section — toggles are placeholders until in-app notifications ship (fr/it/es)"
settings.notifications.likes,Reactions,Réactions,Reazioni,Reacciones,"mt: Placeholder notification-category toggle label (fr/it/es)"
settings.notifications.replies,Replies,Réponses,Risposte,Respuestas,"mt: Placeholder notification-category toggle label (reuses profile.tab.replies copy)"
settings.notifications.follows,New followers,Nouveaux abonnés,Nuovi follower,Nuevos seguidores,"mt: Placeholder notification-category toggle label (fr/it/es)"
settings.subscription.noPlan,No active subscription,Aucun abonnement actif,Nessun abbonamento attivo,Sin suscripción activa,"mt: Subtitle on the current-plan row when the viewer is on the free tier (fr/it/es)"
settings.delete.title,Delete your account?,Supprimer votre compte ?,Eliminare il tuo account?,¿Eliminar tu cuenta?,"mt: Title of the account-deletion confirmation dialog (fr/it/es)"
