key,en,fr,it,es,context
onboarding.interest.title,What do you want to hear about?,De quoi souhaitez-vous être informé ?,Di cosa vuoi sentire parlare?,¿Sobre qué quieres saber?,Heading on the interest-selection screen
onboarding.interest.searchPlaceholder,Search topics,Rechercher des sujets,Cerca argomenti,Buscar temas,mt: Placeholder in the topic search field (fr/it/es)
onboarding.interest.selectPrompt,Select 5 categories,Sélectionnez 5 catégories,Seleziona 5 categorie,Selecciona 5 categorías,Prompt/button label before any topic is selected
onboarding.interest.selectMore,"Select {count} more categories","Sélectionnez encore {count} catégories","Seleziona altre {count} categorie","Selecciona {count} categorías más",Button label while fewer than the minimum topics are selected
onboarding.interest.confirm,Confirm,Confirmer,Conferma,Confirmar,Confirm button once enough topics are selected
onboarding.interest.skip,Skip for now,Passer pour l'instant,Salta per ora,Omitir por ahora,mt: Secondary skip button on the interest screen (it/es)
onboarding.interest.noTopics,No topics available yet,Aucun sujet disponible pour le moment,Nessun argomento disponibile al momento,Aún no hay temas disponibles,mt: Empty state when no topics load (fr/it/es)
onboarding.principleIntro.title,New ways for new habits,Nouvelles modalités pour de nouveaux réflexes,Nuovi modi per nuove abitudini,Nuevas formas para nuevos hábitos,Title on the pre-principle intro screen
onboarding.principleIntro.body,"On Republike, it's the small details that change everything!","Sur Republike, ce sont de petits détails qui font que ça change tout !","Su Republike sono i piccoli dettagli a cambiare tutto!","¡En Republike, son los pequeños detalles los que lo cambian todo!",Body on the pre-principle intro screen
onboarding.principle1.title,Community of Values,Communauté de valeurs,Comunità di valori,Comunidad de valores,Title of the first manifesto principle
onboarding.principle1.body,"No condition required except agreement on the price of real exchanges and the values of commitment: respect, quality, altruism, competence.","Aucune condition requise sinon l'accord sur le prix des vrais échanges et sur les valeurs de l'engagement : respect, qualité, altruisme, compétence.","Nessuna condizione richiesta se non l'accordo sul valore degli scambi reali e sui valori dell'impegno: rispetto, qualità, altruismo, competenza.","No se requiere ninguna condición salvo el acuerdo sobre el valor de los intercambios reales y los valores del compromiso: respeto, calidad, altruismo, competencia.",Body of the first manifesto principle
onboarding.principle2.title,Detox by Design,Detox by design,Detox by Design,Detox by Design,Title of the second manifesto principle
onboarding.principle2.body,"Interface, post format, interaction modes, notifications… encourage constructive exchange and neutralize harmful, addictive or herd-like behavior.","Interface, format de posts, modalités d'interaction, notifs… favorisent l'échange constructif et neutralisent les biais et comportements nocifs, addictifs ou grégaires.","Interfaccia, formato dei post, modalità di interazione, notifiche… incoraggiano lo scambio costruttivo e neutralizzano i comportamenti dannosi, di dipendenza o gregari.","Interfaz, formato de publicaciones, modos de interacción, notificaciones… fomentan el intercambio constructivo y neutralizan los comportamientos dañinos, adictivos o gregarios.",Body of the second manifesto principle
onboarding.principle.acknowledge,I understand,Je comprends,Ho capito,Lo entiendo,mt: Acknowledgement CTA on the pre-principle screens (it/es)
