key,en,fr,it,es,context
feed.tab.agora,Agora,Agora,Agora,Ágora,Feed tab label for the chronological/explore feed (from RN feed.modeSwitcher.explore)
feed.tab.forYou,For you,Pour vous,Per te,Para ti,Feed tab label for the personalized feed (from RN feed.modeSwitcher.yourFeed)
feed.tab.surpriseMe,Surprise me,Surprenez-moi,Sorprendimi,Sorpréndeme,mt: Optional feed mode that shows random content (it/es)
feed.composer.placeholder,What's on your mind?,Qu'avez-vous en tête ?,Cosa hai in mente?,¿Qué estás pensando?,"mt: Placeholder in the composer trigger card at the top of the feed (it/es; fr from RN layout.feed.whatsInYourMind, reworded)"
feed.composer.cta,Post,Publier,Pubblica,Publicar,mt: Button on the composer card that opens the post editor (it/es)
feed.refresh,Pull to refresh,Tirez pour actualiser,Trascina per aggiornare,Desliza para actualizar,"mt: Hint/accessibility label for the pull-to-refresh control (fr/it/es)"
feed.refreshing,Refreshing…,Actualisation…,Aggiornamento…,Actualizando…,mt: Status shown while the feed is reloading (fr/it/es)
feed.loadingMore,Loading more posts…,Chargement d'autres publications…,Caricamento di altri post…,Cargando más publicaciones…,mt: Footer status during infinite-scroll pagination (fr/it/es)
feed.endOfFeed,You're all caught up,Vous êtes à jour,Sei aggiornato,Estás al día,"mt: End-of-list marker when there are no more posts to load (it/es; fr from RN emptyStates.notifications.unread.title)"
feed.empty.title,Nothing new just yet,Rien de nouveau pour l'instant,Niente di nuovo per ora,Nada nuevo por ahora,"Empty-feed title (from RN feedEmpty.latest.title)"
feed.empty.body,Be the first to share something with the community.,Soyez le premier à partager quelque chose avec la communauté.,Sii il primo a condividere qualcosa con la community.,Sé el primero en compartir algo con la comunidad.,"Empty-feed body (from RN feedEmpty.latest.subtitle)"
feed.empty.forYou.title,No posts from people you follow yet,Aucune publication des personnes que vous suivez,Ancora nessun post dalle persone che segui,Aún no hay publicaciones de las personas que sigues,"For-You empty-state title (from RN feedEmpty.follow.title)"
