key,en,fr,it,es,context
paywall.plan.title,Choose your plan,Choisissez votre plan,Scegli il tuo piano,Elige tu plan,Heading on the paywall plan-list screen
paywall.plan.renewTitle,Renew your plan,Renouvelez votre abonnement,Rinnova il tuo piano,Renueva tu plan,Heading when a returning user renews
paywall.plan.upgradeTitle,Upgrade your plan,Améliorez votre plan,Aggiorna il tuo piano,Mejora tu plan,Heading when prompting an upgrade
paywall.plan.subtitle,Choose how you want to participate,Choisissez comment vous voulez participer,Scegli come vuoi partecipare,Elige cómo quieres participar,Subtitle under the plan heading
paywall.plan.upgradeSubtitle,Upgrade to unlock this feature,Améliorez votre plan pour débloquer cette fonctionnalité,Aggiorna per sbloccare questa funzione,Mejora tu plan para desbloquear esta función,Subtitle shown on the upgrade prompt
paywall.plan.benefits,Benefits,Avantages,Vantaggi,Beneficios,Section header above the plan benefits list
paywall.plan.freeTier,Visiting Citizen,Citoyen Visiteur,Cittadino Visitatore,Ciudadano Visitante,Title of the free plan card
paywall.plan.freeTierSubtitle,Participate for free · upgrade anytime,Participez gratuitement · amélioration possible à tout moment,Partecipa gratis · aggiorna quando vuoi,Participa gratis · mejora cuando quieras,Subtitle of the free plan card
paywall.plan.continueFree,Continue as Visiting Citizen,Continuer en tant que Citoyen Visiteur,Continua come Cittadino Visitatore,Continuar como Ciudadano Visitante,CTA to activate the free tier
paywall.plan.foundingCitizen,Founding Citizen,Citoyen Fondateur,Cittadino Fondatore,Ciudadano Fundador,Founding Citizen plan title
paywall.plan.foundingFather,Founding Father,Père Fondateur,Padre Fondatore,Padre Fundador,Founding Father plan title
paywall.plan.perYear,per year,par an,all'anno,al año,Billing period suffix for the annual plan
paywall.plan.lifetime,Lifetime,À vie,A vita,De por vida,Billing period label for the lifetime plan
paywall.plan.subscribe,Subscribe,S'abonner,Abbonati,Suscribirse,CTA to start a subscription purchase
paywall.verify.loading,Verifying your payment…,Vérification de votre paiement…,Verifica del pagamento…,Verificando tu pago…,Loading label while the receipt is verified
paywall.verify.success,Your payment has been verified.,Votre paiement a été vérifié.,Il tuo pagamento è stato verificato.,Tu pago ha sido verificado.,Toast after a successful receipt verification
